fecha,modelo,precio_anterior,precio_actual
2022/10/27,"Portátil - HP 15s-fq4013ns, 15.6"" Full HD, Intel® Core™ i7-1195G7, 8GB RAM, 512GB SSD,  Iris® Xᵉ, W11 Home, Plata",799.0,699.0
2022/10/27,"Portátil - Acer Swift 3 SF314-511-525P, 14"" FHD, Intel® Core™ i5-1135G7, 16 GB RAM, 512 GB SSD, Iris® Xe, W11",799.0,699.0
2022/10/27,"Portátil  - 82KB013SSP LENOVO, 15,6 "", Full-HD, Intel Core, 16 GB, 1 TB, Integrada, Windows 11 Home Negro",nan,807.02
2022/10/27,"Portátil  - VOOM MAX BLK INNJOO, 14,1 "", HD, Intel® Celeron® Processor N3350, 6 GB, 64 GB, Intel® HD Graphics 500, WINDOWS 10 HOME NEGRO",239.99,189.99
2022/10/27,"Portátil gaming - Acer Nitro 5 AN515-58, 15.6"" Full HD, Intel® Core™ i5-12500H, 16GB RAM, 512GB SSD, GeForce RTX™ 3050, Windows 11 Home",899.0,799.0
2022/10/27,"Portátil  - F415EA-EK1464 ASUS, 14 "", Full-HD, Intel® Core™ i3-1115G4, 8 GB, 256 GB, Intel® UHD Graphics, FreeDOS (Sin sistema operativo) Plata transparente",479.0,359.0
2022/10/27,"Portátil  - ZENBOOK ASUS, 13,3 "", Full-HD, Intel® Core™ i7, 16 GB, 512 GB, Iris Xe, Windows 11 Home Gris",nan,1010.91
2022/10/27,"Portátil  - IJ-VOOM LAPTOP-GRY INNJOO, 14,1 "", HD, Intel® Celeron®, 4 GB, 1 TB, Intel® HD Graphics 500, Windows 10 Home Gris",nan,200.88
2022/10/27,"Portátil  - 30033470 MEDION, 15,6 "", Full-HD, AMD, 16 GB, 512 GB, Integrada, Windows 11 Home Gris",582.0,540.51
2022/10/27,"Portátil - Samsung Galaxy Book GO, 14"" FHD, Qualcomm® 7C Pro 2nd Gen, 4GB RAM, 128GB UFS, Adreno, W11S, Silver",nan,412.0
2022/10/27,"Portátil - Lenovo IdeaPad 1 15ADA7, 15.6"" Full HD, AMD Ryzen™ 5 3500U, 8GB RAM, 512GB SSD, Radeon™ Vega 8 Graphics, Windows 11 Home",nan,569.0
2022/10/27,"Portátil - HP 15S-FQ5048NS , 15.6"" Full HD, Intel® Core™ i7-1255U, 16GB RAM, 512GB SSD, Iris® Xᵉ, W11 Home",899.0,799.0
